timestamp;black;green;red
344;120;160;19
345;120;180;20
346;120;200;20
347;120;220;6
348;120;240;4
349;120;260;5
350;120;280;22
351;120;300;22
352;120;320;22
353;120;340;3
354;120;360;5
355;120;380;5
356;120;400;23
357;120;420;24
358;120;440;6
359;120;460;8
360;120;480;8
361;120;500;24
362;120;520;23
363;120;540;22
364;120;560;7
365;120;580;6
366;120;600;6
367;120;620;25
368;120;640;24
369;120;660;8
370;120;680;7
371;120;700;7
372;120;720;24
373;120;740;23
374;120;760;25
375;120;780;8
376;120;800;8
377;120;820;10
378;120;840;25
379;120;860;26
380;120;880;13
381;120;900;8
382;120;920;9
383;120;940;24
384;120;960;24
385;120;980;6
386;120;1000;9
387;120;1020;9
388;120;1040;25
389;120;1060;25
390;120;1080;24
391;120;1100;24
392;140;0;2
393;140;20;1
394;140;40;4
395;140;60;20
396;140;80;20
397;140;100;4
398;140;120;5
399;140;140;4
400;140;160;4
401;140;180;19
402;140;200;20
403;140;220;4
404;140;240;4
405;140;260;6
406;140;280;5
407;140;300;6
408;140;320;5
409;140;340;5
410;140;360;6
411;140;380;5
412;140;400;22
413;140;420;8
414;140;440;7
415;140;460;9
416;140;480;9
417;140;500;10
418;140;520;5
419;140;540;5
420;140;560;8
421;140;580;6
422;140;600;8
423;140;620;23
424;140;640;8
425;140;660;8
426;140;680;8
427;140;700;8
428;140;720;8
429;140;740;24
430;140;760;8
431;140;780;9
432;140;800;9
433;140;820;10
434;140;840;11
435;140;860;11
436;140;880;9
437;140;900;8
438;140;920;10
439;140;940;7
440;140;960;9
441;140;980;9
442;140;1000;9
443;140;1020;9
444;140;1040;8
445;140;1060;9
446;140;1080;9
447;140;1100;8
448;160;0;2
449;160;20;2
450;160;40;3
451;160;60;4
452;160;80;5
453;160;100;4
454;160;120;6
455;160;140;5
456;160;160;4
457;160;180;4
458;160;200;5
459;160;220;4
460;160;240;4
461;160;260;6
462;160;280;5
463;160;300;6
464;160;320;5
465;160;340;5
466;160;360;72
467;160;380;4
468;160;400;8
469;160;420;6
470;160;440;8
471;160;460;8
472;160;480;8
473;160;500;9
474;160;520;8
475;160;540;6
476;160;560;9
477;160;580;8
478;160;600;8
479;160;620;11
480;160;640;8
481;160;660;9
482;160;680;8
483;160;700;8
484;160;720;9
485;160;740;24
486;160;760;8
487;160;780;10
488;160;800;8
489;160;820;10
490;160;840;10
491;160;860;10
492;160;880;11
493;160;900;8
494;160;920;9
495;160;940;8
496;160;960;9
497;160;980;9
498;160;1000;11
499;160;1020;10
500;160;1040;8
501;160;1060;9
502;160;1080;9
503;160;1100;9
504;180;0;3
505;180;20;2
506;180;40;4
507;180;60;5
508;180;80;5
509;180;100;6
510;180;120;6
511;180;140;5
512;180;160;5
513;180;180;4
514;180;200;6
515;180;220;4
516;180;240;5
517;180;260;6
518;180;280;4
519;180;300;6
520;180;320;5
521;180;340;6
522;180;360;6
523;180;380;126
524;180;400;8
525;180;420;7
526;180;440;8
527;180;460;8
528;180;480;9
529;180;500;9
530;180;520;25
531;180;540;6
532;180;560;8
533;180;580;8
534;180;600;8
535;180;620;14
536;180;640;8
537;180;660;9
538;180;680;9
539;180;700;8
540;180;720;10
541;180;740;24
542;180;760;9
543;180;780;10
544;180;800;9
545;180;820;10
546;180;840;11
547;180;860;11
548;180;880;10
549;180;900;10
550;180;920;10
551;180;940;8
552;180;960;10
553;180;980;11
554;180;1000;11
555;180;1020;12
556;180;1040;9
557;180;1060;9
558;180;1080;10
559;180;1100;10
560;200;0;3
561;200;20;3
562;200;40;4
563;200;60;22
564;200;80;4
565;200;100;5
566;200;120;6
567;200;140;5
568;200;160;5
569;200;180;21
570;200;200;4
571;200;220;4
572;200;240;5
573;200;260;8
574;200;280;6
575;200;300;4
576;200;320;5
577;200;340;5
578;200;360;8
579;200;380;126
580;200;400;128
581;200;420;130
582;200;440;129
583;200;460;130
584;200;480;130
585;200;500;129
586;200;520;129
587;200;540;128
588;200;560;129
589;200;580;128
590;200;600;128
591;200;620;129
592;200;640;129
593;200;660;130
594;200;680;129
595;200;700;129
596;200;720;129
597;200;740;129
598;200;760;131
599;200;780;131
600;200;800;9
601;200;820;11
602;200;840;11
603;200;860;10
604;200;880;10
605;200;900;9
606;200;920;11
607;200;940;10
608;200;960;25
609;200;980;9
610;200;1000;11
611;200;1020;10
612;200;1040;9
613;200;1060;25
614;200;1080;25
615;200;1100;8
616;220;0;1
617;220;20;2
618;220;40;6
619;220;60;22
620;220;80;22
621;220;100;4
622;220;120;6
623;220;140;5
624;220;160;21
625;220;180;20
626;220;200;22
